Year,Gender,Counts
1924,M,43
1924,W,3
1924,X,3
1928,M,35
1928,W,3
1928,X,3
1932,M,36
1932,W,3
1932,X,3
1936,M,42
1936,W,6
1936,X,3
1948,M,53
1948,W,12
1948,X,3
1952,M,49
1952,W,15
1952,X,3
1956,M,51
1956,W,18
1956,X,3
1960,M,48
1960,W,30
1960,X,3
1964,M,61
1964,W,36
1964,X,6
1968,M,63
1968,W,37
1968,X,6
1972,M,63
1972,W,36
1972,X,6
1976,M,66
1976,W,36
1976,X,9
1980,M,70
1980,W,36
1980,X,9
1984,M,69
1984,W,39
1984,X,9
1988,M,81
1988,W,48
1988,X,9
1992,M,93
1992,W,69
1992,X,9
1994,M,99
1994,W,75
1994,X,9
1998,M,109
1998,W,87
1998,X,9
2002,M,123
2002,W,102
2002,X,9
2006,M,132
2006,W,111
2006,X,9
